nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
      3510, 9.700000001E-03,-4.999999998E-03, 1.789244043E+00,-2.268035697E-03,-1.775135623E-02
      3511, 8.700093512E-03,-6.299899977E-03, 1.875503456E+00,-1.872565713E-02,-3.657044255E-02
      3512, 8.800078747E-03,-6.199894623E-03, 1.879319336E+00,-1.717843564E-02,-3.637007189E-02
      3513, 8.900056850E-03,-6.099912602E-03, 1.882377585E+00,-1.553967484E-02,-3.580756367E-02
      3514, 9.000037485E-03,-5.999944223E-03, 1.884170446E+00,-1.381798310E-02,-3.482329095E-02
      3515, 9.100021183E-03,-5.899970868E-03, 1.884207632E+00,-1.202917284E-02,-3.336123558E-02
      3516, 9.200009650E-03,-5.799987793E-03, 1.882012285E+00,-1.020030791E-02,-3.137781463E-02
      3517, 9.300003744E-03,-5.699995579E-03, 1.877202982E+00,-8.366464829E-03,-2.884717928E-02
      3518, 9.400001347E-03,-5.599998476E-03, 1.869529978E+00,-6.574175709E-03,-2.576908817E-02
      3519, 9.500000408E-03,-5.499999606E-03, 1.858965872E+00,-4.878520828E-03,-2.217737641E-02
      3520, 9.600000105E-03,-5.399999898E-03, 1.845638414E+00,-3.343232239E-03,-1.814364046E-02
      3521, 9.700000018E-03,-5.299999984E-03, 1.829994984E+00,-2.031030360E-03,-1.377641942E-02
      3522, 9.800000005E-03,-5.199999996E-03, 1.812464240E+00,-1.017722584E-03,-9.210648258E-03
      3523, 9.800000001E-03,-5.099999999E-03, 1.798965052E+00,-1.062648552E-03,-1.012592043E-02
      3524, 8.100000000E-03,-3.300000000E-03, 1.410339031E+00, 9.348986348E-04,-2.702593104E-02
      3525, 8.200000000E-03,-3.400000000E-03, 1.415498075E+00,-3.324986355E-04,-2.892227583E-02
      3526, 8.300000000E-03,-3.500000000E-03, 1.422021731E+00,-1.574318426E-03,-3.100779084E-02
      3527, 8.400000000E-03,-3.600000000E-03, 1.430429489E+00,-2.810805591E-03,-3.336897748E-02
      3528, 8.500000000E-03,-3.700000000E-03, 1.441386423E+00,-4.061098930E-03,-3.609535359E-02
      3529, 8.600000000E-03,-3.800000000E-03, 1.455707921E+00,-5.333753447E-03,-3.924732774E-02
      3530, 8.700000000E-03,-3.900000000E-03, 1.474315773E+00,-6.612669147E-03,-4.280383764E-02
      3531, 8.800000000E-03,-4.000000000E-03, 1.498103850E+00,-7.841720044E-03,-4.659562810E-02
      3532, 8.900000000E-03,-4.100000000E-03, 1.527667012E+00,-8.916998799E-03,-5.024656741E-02
      3533, 9.000000000E-03,-4.200000000E-03, 1.562798119E+00,-9.689674067E-03,-5.315326464E-02
      3534, 9.100000000E-03,-4.300000000E-03, 1.602089035E+00,-1.000445512E-02,-5.459491420E-02
      3535, 9.200000000E-03,-4.400000000E-03, 1.642586395E+00,-9.744867705E-03,-5.392646086E-02
      3536, 9.300000000E-03,-4.500000000E-03, 1.681908128E+00,-8.887310867E-03,-5.071937651E-02
      3537, 9.400000000E-03,-4.600000000E-03, 1.716069388E+00,-7.490038609E-03,-4.492004503E-02
      3538, 9.500000000E-03,-4.700000000E-03, 1.742963015E+00,-5.756664107E-03,-3.707194044E-02
      3539, 9.600000000E-03,-4.799999999E-03, 1.762353629E+00,-3.952316986E-03,-2.812029981E-02
      3540, 9.700000001E-03,-4.899999999E-03, 1.775856314E+00,-2.332669673E-03,-1.913772935E-02
      3541, 9.800000001E-03,-4.999999999E-03, 1.785552486E+00,-1.104606508E-03,-1.107355028E-02
      3542, 8.800063959E-03,-6.299906761E-03, 1.899715598E+00,-1.676730644E-02,-3.436082308E-02
      3543, 8.900052232E-03,-6.199916976E-03, 1.901527360E+00,-1.513398809E-02,-3.371738630E-02
      3544, 9.000037967E-03,-6.099936905E-03, 1.902081907E+00,-1.342406415E-02,-3.267150215E-02
      3545, 9.100025783E-03,-5.999963448E-03, 1.900948188E+00,-1.165613811E-02,-3.117867374E-02
